"Dataset","Chemical","CAS","KE1_call","KE2_call","KE3_call","LLNA_call","KE1_metric","KE1_metric__present","KE2_metric","KE2_metric__present","KE3_metric","KE3_metric__present","LLNA_EC3","LLNA_EC3__present","complete_case"
"SkinSensDB","Isopropyl myristate","110-27-0","0.0","0.0","0.0","1.0","4.75","1","2000.0","1","200.0","1","44.0","1","1"
"SkinSensDB","HC VIOLET No,1","82576-75-8","1.0","1.0","0.0","1.0","44.45","1","188.0","1","200.0","1","0.9","1","1"
"SkinSensDB","Lauryl gallate","1166-52-5","1.0","1.0","1.0","1.0","54.35","1","1.1","1","0.3","1","0.3","1","1"
"SkinSensDB","Ethyl acrylate","140-88-5","1.0","1.0","1.0","1.0","97.85","1","45.485","1","5.5","1","28.0","1","1"
"SkinSensDB","Methyl pyruvate","600-22-6","0.0","0.0","0.0","1.0","5.9","1","2000.0","1","200.0","1","2.4","1","1"
"SkinSensDB","Phthalic anhydride","85-44-9","1.0","0.0","0.0","1.0","62.595","1","2000.0","1","200.0","1","0.16","1","1"
"SkinSensDB","CAPE (Caffeic acid phenethyl ester)","104594-70-9","1.0","1.0","1.0","1.0","43.400000000000006","1","0.96","1","2.18","1","0.9","1","1"
"SkinSensDB","1-(4-Methoxyphenyl)-1-penten-3-one","104-27-8","1.0","1.0","1.0","1.0","45.05","1","13.49","1","39.3","1","9.3","1","1"
"SkinSensDB","2,5-Diaminotoluene sulfate","615-50-9","1.0","1.0","1.0","1.0","57.5","1","5.4","1","2.0","1","0.31","1","1"
"SkinSensDB","Chlorpromazine","69-09-0&50-53-3","0.0","0.0","1.0","1.0","0.0","1","2000.0","1","4.21","1","0.14","1","1"
"SkinSensDB","2-Ethylhexyl acrylate","103-11-7","1.0","1.0","1.0","1.0","71.8","1","35.0","1","15.0","1","9.7","1","1"
"SkinSensDB","4-Amino-2-hydroxytoluene","2835-95-2","1.0","1.0","1.0","1.0","68.15","1","325.28","1","0.66","1","1.22","1","1"
"SkinSensDB","Toluene 2,4-diisocyanate","584-84-9","1.0","1.0","1.0","1.0","38.75","1","135.0","1","127.9","1","0.02","1","1"
"SkinSensDB","Dihydromyrcenol","18479-58-8","0.0","0.0","0.0","0.0","1.0","1","2000.0","1","200.0","1","0.0","1","1"
"SkinSensDB","2-Methyl-1,3-benzenediol","608-25-3","1.0","1.0","1.0","1.0","21.5","1","3.58","1","5.418417551","1","50.0","1","1"
"SkinSensDB","1,2,4-trihydroxybenzene","533-73-3","1.0","1.0","1.0","1.0","99.4","1","187.0","1","6.0","1","0.08","1","1"
"SkinSensDB","1,1,3-Trimethyl-2-formylcyclohexa-2,4-diene (Safranal)","116-26-7","1.0","1.0","1.0","1.0","45.9000001","1","3.5","1","12.0","1","7.5","1","1"
"SkinSensDB","1,2,4-Benzenetricarboxylic anhydride (Trimellitic anhydride)","552-30-7","1.0","0.0","1.0","1.0","52.1","1","2000.0","1","81.19957736","1","0.11","1","1"
"SkinSensDB","2-Pheny1propiona1dehyde","93-53-8","1.0","1.0","1.0","1.0","60.6","1","26.0","1","3.8","1","6.3","1","1"
"SkinSensDB","Penicillin","61-33-6","1.0","0.0","0.0","1.0","7.15","1","1308.6","1","200.0","1","1.6","1","1"
"SkinSensDB","2,4-Heptadienal","5910-85-0or4313-03-5","1.0","1.0","1.0","1.0","60.599999999999994","1","4.7","1","1.0","1","4.0","1","1"
"SkinSensDB","1,4-Benzoquinone","106-51-4","1.0","1.0","1.0","1.0","97.95","1","4.0","1","1.3","1","0.0099","1","1"
"SkinSensDB","Chloroantrol","57074-21-2","1.0","1.0","1.0","1.0","75.84","1","2.58","1","0.0","1","0.4","1","1"
"SkinSensDB","Diethyl sulfate","64-67-5","1.0","1.0","1.0","1.0","17.9","1","550.4","1","21.6","1","3.3","1","1"
"SkinSensDB","DL-lactic acid","50-21-5or598-82-3","1.0","0.0","0.0","1.0","7.665","1","2000.0","1","200.0","1","25.0","1","1"
"SkinSensDB","Isopropanol","67-63-0","0.0","0.0","0.0","1.0","6.300000000000001","1","2000.0","1","200.0","1","50.0","1","1"
"SkinSensDB","EGDM (Ethyleneglycol dimethacrylate)","97-90-5","1.0","1.0","1.0","1.0","66.95","1","10.6","1","19.0","1","28.0","1","1"
"SkinSensDB","Ethylene diamine","107-15-3","1.0","1.0","1.0","1.0","10.950000000000001","1","99.88","1","16.0","1","2.2","1","1"
"SkinSensDB","Methyl-2,3-hexanedione","13706-86-0","1.0","1.0","1.0","1.0","38.55","1","49.78600611","1","54.8","1","25.8","1","1"
"SkinSensDB","2-Ethylbutyraldehyde","97-96-1","1.0","1.0","0.0","1.0","77.25","1","238.2550077","1","200.0","1","68.2","1","1"
"SkinSensDB","1-Bromohexane","111-25-1","1.0","1.0","0.0","1.0","41.15","1","128.1","1","200.0","1","10.0","1","1"
"SkinSensDB","2-Amino-phenol","95-55-6","1.0","1.0","1.0","1.0","60.35","1","1.06","1","0.1","1","0.4","1","1"
"SkinSensDB","Abietic acid","514-10-3","1.0","1.0","1.0","1.0","65.05","1","16.56","1","36.0","1","11.0","1","1"
"SkinSensDB","DihydroeugenoI(2-Methoxy-4-propyIphenoI)","2785-87-7","0.0","1.0","1.0","1.0","6.15000155","1","462.0","1","23.0","1","6.8","1","1"
"SkinSensDB","7,12-  Dimethylbenz[alpha]anthracene","57-97-6","0.0","1.0","1.0","1.0","0.9","1","1.32","1","33.0","1","0.006","1","1"
"SkinSensDB","Bis(2-ethylhexyl) fumarate","141-05-9","1.0","1.0","1.0","1.0","92.75","1","2.0","1","3.0","1","2.0","1","1"
"SkinSensDB","2,2-Bis-[4-(2-hydroxy-3-methacryloxypropoxy)phenyl)]-propane (Bis-GMA)","1565-94-2","1.0","1.0","1.0","1.0","35.6","1","10.9","1","5.3","1","45.0","1","1"
"SkinSensDB","aminophenol","123-30-8","1.0","1.0","1.0","1.0","74.5","1","2.7","1","1.9","1","0.1","1","1"
"SkinSensDB","3-Methyl-1-phenylpyrazolone","89-25-8","1.0","1.0","1.0","1.0","10.5","1","249.0","1","5.0","1","0.1","1","1"
"SkinSensDB","2,2,6,6-TetramethyI-3,5-heptanedione","1118-71-4","0.0","0.0","1.0","1.0","1.0","1","2000.0","1","153.1868267","1","27.0","1","1"
"SkinSensDB","4-Amino-3-methylphenol","2835-99-6","1.0","1.0","1.0","1.0","59.40000155","1","4.88","1","1.75","1","1.5","1","1"
"SkinSensDB","4-(N-Ethyl-N-2-methan-sulfamido-ethyl)-2-methyl-1,4,-phenylenediamine","25646-71-3","1.0","1.0","1.0","1.0","88.255768165","1","1.98","1","1.0","1","0.6","1","1"
"SkinSensDB","Cyclamen aldehyde","103-95-7","1.0","1.0","1.0","1.0","25.6","1","111.8568624","1","20.0","1","22.0","1","1"
"SkinSensDB","4-phenyl-3-buten-2-one","122-57-6","1.0","1.0","1.0","1.0","62.05","1","7.0","1","3.0","1","3.7","1","1"
"SkinSensDB","2,3-Butandione","431-03-8","1.0","1.0","1.0","1.0","63.849999999999994","1","74.0","1","10.9","1","11.0","1","1"
"SkinSensDB","Farnesal","502-67-0or19317-11-4","1.0","1.0","1.0","1.0","62.25","1","6.0","1","5.0","1","11.7","1","1"
"SkinSensDB","4-ChIoroaniIine","106-47-8","0.0","1.0","1.0","1.0","1.495","1","4.317404823","1","1.0","1","6.5","1","1"
"SkinSensDB","BGE","2426-08-6","1.0","1.0","1.0","1.0","67.3","1","59.4","1","148.9","1","28.0","1","1"
"SkinSensDB","Pyridine","110-86-1","0.0","0.0","0.0","1.0","1.0","1","1300.0","1","200.0","1","72.0","1","1"
"SkinSensDB","1 ,2-BenzisothiazoIin-3-one","2634-33-5","1.0","1.0","1.0","1.0","99.9","1","3.156334043","1","0.4","1","2.3","1","1"
"SkinSensDB","Aniline","62-53-3","1.0","1.0","1.0","1.0","26.95","1","2.0","1","62.5","1","13.25","1","1"
"SkinSensDB","1,3-Bis-(2,4-diaminophenoxy)propane 4 HCl (tetrahydrochloride)","74918-21-1","1.0","1.0","1.0","1.0","61.6","1","5.4","1","6.23","1","12.3","1","1"
"SkinSensDB","3-Methylcatechol","488-17-5","1.0","1.0","1.0","1.0","83.5","1","15.8","1","0.3","1","0.02","1","1"
"SkinSensDB","TMTD","137-26-8","1.0","1.0","1.0","1.0","53.45","1","0.8","1","0.1","1","0.13","1","1"
"SkinSensDB","cis-6-Nonenal","2277-19-2","0.0","1.0","1.0","1.0","5.35","1","121.9","1","5.9","1","23.0","1","1"
"SkinSensDB","Formaldehyde","50-00-0","1.0","1.0","1.0","1.0","43.1","1","63.2","1","4.3","1","0.11","1","1"
"SkinSensDB","Bisphenol A diglycidyl ether","1675-54-3","1.0","1.0","1.0","1.0","39.0","1","5.2","1","9.0","1","1.5","1","1"
"SkinSensDB","Diethylenetriamine","111-40-0","1.0","0.0","0.0","1.0","23.549999999999997","1","1259.35","1","200.0","1","3.28","1","1"
"SkinSensDB","Triethanolamine","102-71-6","0.0","0.0","1.0","0.0","1.865","1","2000.0","1","112.0","1","0.0","1","1"
"SkinSensDB","10-Undecenal","112-45-8","1.0","1.0","1.0","1.0","9.525","1","66.6","1","9.0","1","6.8","1","1"
"SkinSensDB","Nonanoyl chloride","764-85-2","1.0","0.0","1.0","1.0","11.5","1","2000.0","1","19.0","1","1.8","1","1"
"SkinSensDB","Squaric acid","2892-51-5","1.0","0.0","1.0","1.0","49.565","1","2000.0","1","62.7","1","4.3","1","1"
"SkinSensDB","2-Phenoxyethanol","122-99-6","1.0","0.0","0.0","0.0","18.4","1","2000.0","1","176.3","1","0.0","1","1"
"SkinSensDB","Benzoyl peroxide","94-36-0","1.0","1.0","1.0","1.0","99.65","1","41.5","1","15.7","1","0.004","1","1"
"SkinSensDB","Dimethyl fumarate","624-49-7","1.0","1.0","1.0","1.0","73.05","1","3.7","1","1.0","1","0.35","1","1"
"SkinSensDB","Benzyl bromide","100-39-0","1.0","1.0","1.0","1.0","63.25","1","4.685","1","2.859969648","1","0.2","1","1"
"SkinSensDB","Propyl gallate","121-79-9","1.0","1.0","1.0","1.0","98.95","1","6.0","1","2.0","1","0.32","1","1"
"SkinSensDB","Pentachlorophenol","87-86-5","1.0","0.0","1.0","1.0","7.25","1","2000.0","1","19.04","1","20.0","1","1"
"SkinSensDB","Glyoxal","107-22-2","1.0","1.0","1.0","1.0","80.9","1","77.0","1","32.6","1","0.6","1","1"
"SkinSensDB","Nonanoic acid","112-05-0","0.0","0.0","1.0","1.0","2.6","1","4000.0","1","125.2290503","1","21.0","1","1"
"SkinSensDB","Salicylic acid","69-72-7","1.0","0.0","0.0","1.0","9.3","1","2000.0","1","200.0","1","12.2","1","1"
"SkinSensDB","Chlorothalonil","1897-45-6","1.0","1.0","1.0","0.0","51.3","1","4.3","1","0.21","1","0.0","1","1"
"SkinSensDB","DPCP","886-38-4","1.0","1.0","1.0","1.0","51.75","1","0.5","1","0.2","1","0.0003","1","1"
"SkinSensDB","2,4-Dinitrofluorobenzene","70-34-8","1.0","1.0","1.0","0.0","50.0","1","3.12","1","1.87","1","0.0","1","1"
"SkinSensDB","4-Nitrobenzyl bromide","100-11-8","1.0","1.0","1.0","1.0","65.81","1","1.3","1","0.4","1","0.05","1","1"
"SkinSensDB","Zinc sulfate","7733-02-0","0.0","1.0","1.0","0.0","3.425","1","182.5988593","1","62.0","1","0.0","1","1"
"SkinSensDB","n- heptyl b-d-thioglucopyranoside","85618-20-8","0.0","0.0","1.0","1.0","4.395","1","4000.0","1","101.43","1","8.3","1","1"
"SkinSensDB","Glutaraldehyde","111-30-8","1.0","1.0","1.0","1.0","94.0","1","24.25929927","1","2.0","1","0.04","1","1"
"SkinSensDB","Diethyl toluamide","134-62-3","1.0","0.0","1.0","1.0","6.4","1","2000.0","1","52.9","1","60.0","1","1"
"SkinSensDB","Potassium dichromate","7778-50-9","1.0","1.0","1.0","0.0","29.7","1","0.82","1","0.9","1","0.0","1","1"
"SkinSensDB","2-Methylundecanal","110-41-8","1.0","1.0","1.0","1.0","61.0","1","24.2","1","60.8","1","10.0","1","1"
"SkinSensDB","Cobalt (II) chloride","7646-79-9","1.0","1.0","1.0","1.0","30.3","1","75.0","1","35.5","1","0.4","1","1"
"SkinSensDB","Phenyl benzoate","93-99-2","1.0","0.0","1.0","1.0","64.9","1","2000.0","1","7.0","1","1.2","1","1"
"SkinSensDB","2,4-Diaminophenoxyethanol dihydrochlorid","66422-95-5","1.0","1.0","1.0","1.0","56.45","1","1.69","1","22.6","1","3.17","1","1"
"SkinSensDB","Methyl methanesulfonate","66-27-3","1.0","1.0","1.0","1.0","51.65","1","48.02877393","1","2.0","1","8.1","1","1"
"SkinSensDB","3,3,5-trimethylhexanoyl chloride","36727-29-4","1.0","0.0","1.0","1.0","24.3","1","2000.0","1","17.0","1","2.7","1","1"
"SkinSensDB","2-Methyl-5-hydroxyethylaminophenol","55302-96-0","1.0","1.0","1.0","1.0","36.8","1","2.86","1","26.0","1","0.4","1","1"
"SkinSensDB","DMSO","67-68-5","0.0","0.0","0.0","1.0","0.8","1","2000.0","1","200.0","1","72.0","1","1"
"SkinSensDB","(5-chloro)-methyl-isothiazolinone","26172-55-4","1.0","1.0","1.0","1.0","65.7","1","0.8","1","14.0","1","0.009","1","1"
"SkinSensDB","Xylene","1330-20-7","0.0","0.0","0.0","1.0","5.215","1","2000.0","1","200.0","1","95.8","1","1"
"SkinSensDB","1,2 dibromo 2,4 dicyanobutane","35691-65-7","1.0","1.0","1.0","1.0","100.0","1","3.02","1","1.0","1","0.9","1","1"
"SkinSensDB","1 ,4-Dihydroquinone","123-31-9","1.0","1.0","1.0","1.0","76.65","1","9.797272916","1","0.6","1","0.07","1","1"
"SkinSensDB","Nickel chloride","7718-54-9","1.0","1.0","1.0","1.0","21.7","1","346.8","1","18.87981167","1","5.5","1","1"
"SkinSensDB","1 -Naphthol","90-15-3","1.0","1.0","1.0","1.0","42.8","1","129.6","1","2.5","1","1.3","1","1"
