Dataset,Chemical,CAS,KE1_call,KE2_call,KE3_call,LLNA_call,KE1_metric,KE1_metric__present,KE2_metric,KE2_metric__present,KE3_metric,KE3_metric__present,LLNA_EC3,LLNA_EC3__present,complete_case
SkinSensDB,Propylpipyridyl aminofunctionalised silicone (Type I),171543-65-0,0.0,,,,-1.15,1,,0,,0,,0,0
SkinSensDB,Phenyl isocyanate,103-71-9,1.0,,,,24.75,1,,0,,0,,0,0
SkinSensDB,MCI/MI,Mixture,1.0,,1.0,,53.599999999999994,1,,0,2.21,1,,0,0
SkinSensDB,"1,3-Benzenediol, 4-(1-phenylethyl)-",85-27-8,0.0,1.0,1.0,,3.4,1,44.16,1,14.36,1,,0,0
SkinSensDB,Jasmine Absolute (Grandiflorum),8022-96-6;8024-43-9;90045-94-6;84776-64-7,1.0,1.0,1.0,1.0,16.97,1,13.3,1,5.58,1,5.9,1,1
SkinSensDB,Octocrylene,6197-30-4,0.0,1.0,1.0,1.0,2.5999999999999996,1,6.79,1,4.2,1,7.7,1,1
SkinSensDB,Folic acid,59-30-3,1.0,1.0,,,15.5,1,501.0,1,,0,,0,0
SkinSensDB,Genistein,446-72-0,1.0,1.0,1.0,,58.015,1,-0.020000000000000018,1,2.6,1,,0,0
SkinSensDB,Spirogalbanone,224031-70-3,,,,1.0,,0,,0,,0,2.2,1,0
SkinSensDB,2-Amino-3-hydroxypyridine,16867-03-1,1.0,0.0,1.0,,37.275,1,2001.0,1,2.67,1,,0,0
SkinSensDB,Carvone,99-49-0,,1.0,1.0,,,0,58.01,1,94.9002215,1,,0,0
SkinSensDB,"1-Hydroxyethyl-4,5-Diaminopyrazole Sulfate",155601-30-2,1.0,1.0,1.0,,60.400000000000006,1,60.87,1,55.87,1,,0,0
SkinSensDB,Dimethyl CAPE,145551-14-0,0.0,1.0,1.0,,2.75,1,11.58,1,148.33,1,,0,0
SkinSensDB,2-Hydroxy-4-methoxybenzophenone,131-57-7,1.0,1.0,1.0,,46.0,1,11.97,1,68.25,1,,0,0
SkinSensDB,Copper oxide,1317-38-0,,1.0,,,,0,1.38,1,,0,,0,0
SkinSensDB,Hexylene glycol,107-41-5,0.0,,,,0.56,1,,0,,0,,0,0
SkinSensDB,Transplatin,14913-33-8,,,,,,0,,0,,0,,0,0
SkinSensDB,Kanamycin sulfate,70560-51-9,1.0,0.0,0.0,,6.75,1,2000.0,1,200.0,1,,0,0
