Dataset,Chemical,CAS,KE1_call,KE2_call,KE3_call,LLNA_call,pattern,n_pos,concordant,misclassified
ICE,"3,5-Dichlorosalicyl-3,4-dichloroanilide",1154-59-2,1,1,1,1,111,3,True,0
ICE,"2,4-Heptadienal",5910-85-0,1,1,1,1,111,3,True,0
ICE,"3,4-Dihydrocoumarin",119-84-6,1,0,1,1,101,2,False,1
ICE,Trinitrobenzenesulfonic acid,2508-19-2,1,1,1,1,111,3,True,0
ICE,"Methanesulfonamide, N-[2-[(4-amino-3-methylphenyl)ethylamino]ethyl]-, sulfate (2:3)",25646-71-3,1,1,1,1,111,3,True,0
ICE,Estragole,140-67-0,1,1,1,1,111,3,True,0
ICE,3-Aminophenol,591-27-5,0,0,1,1,001,1,False,1
ICE,"1,4-Benzenediamine",106-50-3,1,1,1,1,111,3,True,0
ICE,"5-Methyl-2,3-hexanedione",13706-86-0,1,1,1,1,111,3,True,0
ICE,Abietic acid,514-10-3,1,1,1,1,111,3,True,0
ICE,Aniline,62-53-3,0,1,1,1,011,2,False,1
ICE,Bandrowski's base,20048-27-5,1,1,1,1,111,3,True,0
ICE,Benzalkonium chloride,8001-54-5,0,0,1,0,001,1,False,1
ICE,Benzocaine,94-09-7,1,1,1,1,111,3,True,0
ICE,4'-Methoxyacetophenone,100-06-1,0,1,1,0,011,2,False,1
ICE,4-Nitrobenzylbromide,100-11-8,1,1,1,1,111,3,True,0
ICE,Penicillin G,61-33-6,1,0,1,1,101,2,False,1
SkinSensDB,Jasmine Absolute (Grandiflorum),8022-96-6;8024-43-9;90045-94-6;84776-64-7,1,1,1,1,111,3,True,0
SkinSensDB,Octocrylene,6197-30-4,0,1,1,1,011,2,False,1
SkinSensDB,Kanamycin sulfate,70560-51-9,1,0,0,1,100,1,False,1
SkinSensDB,Tocopherol,59-02-9,0,1,0,1,010,1,False,1
SkinSensDB,"2,2'-[(4-Aminophenyl)imino]diethanol sulfate (1:1)",54381-16-7,1,1,1,1,111,3,True,0
SkinSensDB,dihydroxyindole,3131-52-0,1,0,1,1,101,2,False,1
SkinSensDB,isatin,91-56-5,1,1,1,1,111,3,True,0
SkinSensDB,"E-1-(2,6,6-trimethyl-3-cyclohexen-1-yl)-2-buten-1-one",24720-09-0,1,1,1,1,111,3,True,0
SkinSensDB,Tetraethylene glycol monotetradecyl ether,39034-24-7,0,0,1,1,001,1,False,1
SkinSensDB,Hexaethylene glycol monododecyl ether,3055-96-7,0,0,1,1,001,1,False,1
SkinSensDB,Phenol,108-95-2,1,0,1,1,101,2,False,1
SkinSensDB,Treemoss,90028-67-4,1,1,1,0,111,3,True,1
SkinSensDB,"HC BLUE No,2",33229-34-4,1,0,0,1,100,1,False,1
SkinSensDB,Diethanolamin,111-42-2,0,0,1,1,001,1,False,1
SkinSensDB,"1,5-Dihydroxynaphtalin",83-56-7,0,1,1,1,011,2,False,1
SkinSensDB,Ylang Ylang,8006-81-3;68606-83-7;83863-30-3,0,1,1,1,011,2,False,1
SkinSensDB,Hydroxyethyl-p-phenylenediamine sulfate,93841-25-9,1,1,1,1,111,3,True,0
SkinSensDB,Diphenylmethane diisocyanate,101-68-8,1,1,1,1,111,3,True,0
SkinSensDB,Chloramine T,127-65-1,1,1,0,1,110,2,False,1
SkinSensDB,N N-dimethyl-4-nitrosoaniline,138-89-6,1,1,1,1,111,3,True,0
SkinSensDB,Squaric acid diethyl ester,5231-87-8,0,0,1,1,001,1,False,1
SkinSensDB,4-Vinyl pyridine,100-43-6,1,1,1,1,111,3,True,0
SkinSensDB,"2,4-Dinitrobenzenesulfonic acid",885-62-1,1,1,1,1,111,3,True,0
SkinSensDB,Tween 80,9005-65-6,1,1,1,1,111,3,True,0
SkinSensDB,Glyceryl monothioglycolate,30618-84-9,1,1,1,1,111,3,True,0
SkinSensDB,3-nitro-p-hydroxyethylaminophenol,65235-31-6,1,1,1,1,111,3,True,0
SkinSensDB,Hydroxytyrosol,10597-60-1,1,1,1,1,111,3,True,0
SkinSensDB,Imidazoidinyl urea,39236-46-9,1,1,1,1,111,3,True,0
