Dataset,Chemical,CAS,KE1_call,KE2_call,KE3_call,LLNA_call,Misclassified,KE2_conflict,KE3_conflict,KE1_metric,KE1_metric__present,KS_call,KS_call__present,LuSens_call,LuSens_call__present,hCLAT_call,hCLAT_call__present,USENS_call,USENS_call__present,LLNA_call_endpoint,LLNA_call_endpoint__present,LLNA_EPA_call,LLNA_EPA_call__present,LLNA_EC3,LLNA_EC3__present,LLNA_EC3_call,LLNA_call_source,LLNA_call__present,complete_case_option_1,complete_case_option_2,complete_case_option_3,complete_case_option_4,complete_case
ICE,Dipivaloylmethane,1118-71-4,0.0,0.0,0.0,1.0,1.0,0,0,,0,Inactive,1,,0,,0,Inactive,1,,0,,0,27.0,1,1.0,EC3,1,0,0,1,1,1
ICE,(Z)-Non-6-enal,2277-19-2,0.0,1.0,1.0,1.0,1.0,0,0,,0,Active,1,,0,,0,Active,1,,0,,0,23.0,1,1.0,EC3,1,0,0,1,1,1
ICE,Methyl acrylate,96-33-3,1.0,1.0,1.0,1.0,0.0,0,0,,0,Active,1,Active,1,,0,Active,1,1.0,1,,0,19.8,1,1.0,Call,1,1,0,1,1,1
ICE,"N,N-Dibutylaniline",613-29-6,0.0,0.0,0.0,1.0,1.0,0,0,,0,Inactive,1,,0,Inactive,1,,0,,0,,0,19.6,1,1.0,EC3,1,0,0,1,1,1
ICE,Squaric acid diethyl ester,5231-87-8,0.0,0.0,0.0,1.0,1.0,0,0,,0,Inactive,1,,0,,0,Inactive,1,1.0,1,,0,0.9,1,1.0,Call,1,1,0,1,1,1
ICE,3-Iodo-2-propynyl-N-butylcarbamate,55406-53-6,1.0,1.0,1.0,1.0,0.0,0,0,,0,Active,1,,0,Active,1,Active,1,1.0,1,,0,0.9,1,1.0,Call,1,1,0,1,1,1
ICE,Hexahydrophthalic anhydride,85-42-7,1.0,0.0,1.0,1.0,1.0,0,0,,0,Inactive,1,,0,,0,Active,1,1.0,1,,0,0.84,1,1.0,Call,1,1,0,1,1,1
ICE,"Phenol, p-(methylamino)-, sulfate (2:1) (salt)",55-55-0,1.0,1.0,1.0,1.0,0.0,0,0,,0,Active,1,Active,1,Active,1,Active,1,,0,,0,0.8,1,1.0,EC3,1,0,0,1,1,1
ICE,"N,N-Dimethyl-4-nitrosoaniline",138-89-6,1.0,1.0,1.0,1.0,0.0,0,0,,0,Active,1,,0,,0,Active,1,1.0,1,,0,0.48,1,1.0,Call,1,1,0,1,1,1
ICE,Methyl 2-octynoate,111-12-6,1.0,1.0,1.0,1.0,0.0,0,0,,0,Active,1,,0,Active,1,Active,1,,0,,0,0.5,1,1.0,EC3,1,0,0,1,1,1
ICE,Chloramine-T,127-65-1,1.0,1.0,1.0,1.0,0.0,0,0,,0,Active,1,,0,Active,1,,0,1.0,1,,0,0.4,1,1.0,Call,1,1,0,1,1,1
ICE,Hexyl salicylate,6259-76-3,0.0,0.0,1.0,1.0,1.0,0,0,,0,Inactive,1,,0,Active,1,Active,1,,0,,0,0.2,1,1.0,EC3,1,0,0,1,1,1
ICE,1-Iodohexadecane,544-77-4,1.0,,1.0,1.0,,0,0,,0,,0,,0,,0,Active,1,,0,,0,19.0,1,1.0,EC3,1,0,0,0,0,0
ICE,Fluorescein-5-isothiocyanate,3326-32-7,1.0,1.0,,1.0,,0,0,,0,Active,1,,0,,0,,0,1.0,1,,0,0.14,1,1.0,Call,1,0,0,0,0,0
ICE,"3-Methyl-1,2-benzenediol",488-17-5,1.0,1.0,1.0,1.0,0.0,0,0,,0,Active,1,,0,,0,Active,1,1.0,1,,0,0.02,1,1.0,Call,1,1,0,1,1,1
ICE,5-Chloro-2-methyl-3(2H)-isothiazolone,26172-55-4,1.0,1.0,,1.0,,0,0,,0,Active,1,,0,,0,,0,,0,1.0,1,0.0095,1,1.0,EPA Classification,1,0,0,0,0,0
ICE,"7,12-Dimethylbenz[a]anthracene",57-97-6,0.0,1.0,0.0,1.0,1.0,0,0,,0,Active,1,,0,,0,Inactive,1,,0,,0,0.006,1,1.0,EC3,1,0,0,1,1,1
ICE,Chlorothalonil,1897-45-6,1.0,1.0,1.0,1.0,0.0,0,0,,0,Active,1,,0,Active,1,,0,,0,1.0,1,0.004,1,1.0,EPA Classification,1,0,0,1,1,1
ICE,Oxazolone,15646-46-5,1.0,1.0,1.0,1.0,0.0,0,0,58.15,1,Active,1,Active,1,Active,1,Active,1,,0,,0,0.002,1,1.0,EC3,1,0,1,1,1,1
ICE,"1,2-Propylene glycol",57-55-6,0.0,0.0,0.0,,,0,0,0.0,1,Inactive,1,Inactive,1,Inactive,1,Inactive,1,,0,,0,,0,,,0,0,0,0,0,0
ICE,D-Glucose,50-99-7,1.0,0.0,,0.0,,0,0,,0,Inactive,1,Inactive,1,,0,,0,0.0,1,,0,,0,,Call,1,0,0,0,0,0
ICE,Nickel chloride,7718-54-9,1.0,1.0,1.0,0.0,1.0,1,0,,0,Active,1,Inactive,1,Active,1,,0,0.0,1,,0,5.5,1,1.0,Call,1,1,0,1,0,0
ICE,Zinc sulfate,7733-02-0,0.0,1.0,1.0,,,0,0,,0,Active,1,,0,Active,1,,0,,0,,0,,0,,,0,0,0,0,0,0
ICE,Polysorbate 80,9005-65-6,0.0,1.0,1.0,0.0,1.0,0,1,,0,Active,1,Active,1,Inactive,1,Active,1,0.0,1,,0,,0,,Call,1,1,0,1,0,0
ICE,"Dibutyl 1,2-benzenedicarboxylate",84-74-2,0.0,1.0,0.0,,,0,0,,0,Active,1,,0,Inactive,1,,0,,0,,0,,0,,,0,0,0,0,0,0
ICE,Benzyl alcohol,100-51-6,0.0,1.0,1.0,0.0,1.0,1,0,,0,Inactive,1,Active,1,Active,1,,0,0.0,1,,0,,0,,Call,1,1,0,1,0,0
ICE,Cocamidopropyl betaine,61789-40-0,0.0,0.0,,0.0,,0,0,,0,,0,Inactive,1,,0,,0,0.0,1,,0,35.0,1,1.0,Call,1,0,0,0,0,0
ICE,Dicaprylyl ether,629-82-3,0.0,1.0,,0.0,,0,0,,0,,0,Active,1,,0,,0,0.0,1,,0,,0,,Call,1,0,0,0,0,0
ICE,2-Propylheptyl octanoate,868839-23-0,0.0,0.0,,0.0,,0,0,,0,,0,Inactive,1,,0,,0,0.0,1,,0,,0,,Call,1,0,0,0,0,0
ICE,"Carbonic acid, dioctyl ester",1680-31-5,0.0,,,0.0,,0,0,,0,,0,,0,,0,,0,0.0,1,,0,,0,,Call,1,0,0,0,0,0
ICE,Hexadecyltrimethylammonium bromide,57-09-0,0.0,0.0,,0.0,,0,0,,0,,0,Inactive,1,,0,,0,0.0,1,,0,,0,,Call,1,0,0,0,0,0
ICE,Xylenes,1330-20-7,0.0,0.0,1.0,1.0,1.0,0,1,,0,Inactive,1,Inactive,1,Active,1,Inactive,1,1.0,1,,0,95.8,1,1.0,Call,1,1,0,1,0,0
ICE,D-Limonene,5989-27-5,1.0,0.0,1.0,1.0,1.0,0,0,,0,Inactive,1,,0,Active,1,Active,1,,0,,0,69.0,1,1.0,EC3,1,0,0,1,1,1
ICE,2-propylheptyl prop-2-enoate,149021-58-9,1.0,1.0,,1.0,,0,0,,0,,0,Active,1,,0,,0,1.0,1,,0,38.8,1,1.0,Call,1,0,0,0,0,0
ICE,"2,2'-Azobisphenol",2050-14-8,0.0,,1.0,1.0,,0,0,,0,,0,,0,Active,1,,0,,0,,0,27.9,1,1.0,EC3,1,0,0,0,0,0
ICE,Isomethyl-alpha-ionone,127-51-5,0.0,0.0,1.0,1.0,1.0,0,0,,0,Inactive,1,,0,Active,1,Active,1,,0,,0,21.8,1,1.0,EC3,1,0,0,1,1,1
ICE,Butyl acrylate,141-32-2,1.0,1.0,1.0,1.0,0.0,0,0,92.55,1,Active,1,Active,1,Active,1,Active,1,1.0,1,,0,20.0,1,1.0,Call,1,1,1,1,1,1
ICE,2-Ethylhexyl acrylate,103-11-7,1.0,1.0,1.0,1.0,0.0,0,1,40.175000000000004,1,Active,1,Active,1,Active,1,Inactive,1,1.0,1,,0,23.25,1,1.0,Call,1,1,1,1,0,0
