Dataset,Chemical,CAS,KE1_call,KE2_call,KE3_call,LLNA_call,Misclassified,KE2_conflict,KE3_conflict,KE1_metric,KE1_metric__present,KS_call,KS_call__present,LuSens_call,LuSens_call__present,hCLAT_call,hCLAT_call__present,USENS_call,USENS_call__present,LLNA_call_endpoint,LLNA_call_endpoint__present,LLNA_EPA_call,LLNA_EPA_call__present,LLNA_EC3,LLNA_EC3__present,LLNA_EC3_call,LLNA_call_source,LLNA_call__present,complete_case_option_1,complete_case_option_2,complete_case_option_3,complete_case_option_4,complete_case,LLNA_EC3_num,bf_KE2_call,bf_KE3_call,bf_KE2_conflict,bf_KE3_conflict,bf_LLNA_call,bf_LLNA_source,bf_complete_case,bf_misclassified
ICE,Phenylacetaldehyde,122-78-1,1.0,1.0,1.0,1.0,0.0,0,0,32.325,1,Active,1,,0,Active,1,Active,1,1.0,1,,0,3.85,1,1.0,Call,1,1,1,1,1,1,3.85,1.0,1.0,0,0,1.0,Call,1,0.0
ICE,2-Mercaptobenzothiazole,149-30-4,1.0,1.0,1.0,1.0,0.0,0,0,50.974999999999994,1,Active,1,Active,1,Active,1,Active,1,1.0,1,,0,1.7,1,1.0,Call,1,1,1,1,1,1,1.7,1.0,1.0,0,0,1.0,Call,1,0.0
ICE,Propylparaben,94-13-3,0.0,1.0,1.0,0.0,1.0,0,0,0.17,1,Active,1,Active,1,Active,1,Active,1,0.0,1,,0,50.0,1,1.0,Call,1,1,1,1,1,1,50.0,1.0,1.0,0,0,0.0,Call,1,1.0
ICE,Resorcinol,108-46-3,1.0,0.0,1.0,1.0,1.0,0,0,3.6999999999999997,1,Inactive,1,Inactive,1,Active,1,Active,1,1.0,1,,0,5.71,1,1.0,Call,1,1,1,1,1,1,5.71,0.0,1.0,0,0,1.0,Call,1,1.0
ICE,Sulfanilamide,63-74-1,0.0,0.0,0.0,0.0,0.0,0,0,0.2,1,Inactive,1,Inactive,1,Inactive,1,Inactive,1,0.0,1,,0,,0,,Call,1,1,0,1,1,1,,0.0,0.0,0,0,0.0,Call,1,0.0
ICE,2-Methoxy-4-methylphenol,93-51-6,1.0,0.0,1.0,1.0,1.0,0,0,7.225,1,Inactive,1,,0,Active,1,Active,1,1.0,1,,0,5.6,1,1.0,Call,1,1,1,1,1,1,5.6,0.0,1.0,0,0,1.0,Call,1,1.0
ICE,"1-Chloro-2,4-dinitrobenzene",97-00-7,1.0,1.0,1.0,1.0,0.0,0,0,60.0,1,Active,1,Active,1,Active,1,Active,1,1.0,1,,0,0.058499999999999996,1,1.0,Call,1,1,1,1,1,1,0.0584999999999999,1.0,1.0,0,0,1.0,Call,1,0.0
ICE,Trinitrobenzenesulfonic acid,2508-19-2,1.0,1.0,1.0,1.0,0.0,0,0,61.15,1,Active,1,Active,1,Active,1,,0,1.0,1,,0,0.3,1,1.0,Call,1,1,1,1,1,1,0.3,1.0,1.0,0,0,1.0,Call,1,0.0
ICE,3-Aminophenol,591-27-5,0.0,0.0,1.0,1.0,1.0,0,0,2.5,1,Inactive,1,,0,Active,1,Active,1,1.0,1,,0,1.8,1,1.0,Call,1,1,1,1,1,1,1.8,0.0,1.0,0,0,1.0,Call,1,1.0
ICE,"1,4-Benzenediamine",106-50-3,1.0,1.0,1.0,1.0,0.0,0,0,58.25,1,Active,1,Active,1,Active,1,Active,1,1.0,1,,0,0.14,1,1.0,Call,1,1,1,1,1,1,0.14,1.0,1.0,0,0,1.0,Call,1,0.0
ICE,4'-Methoxyacetophenone,100-06-1,0.0,1.0,1.0,0.0,1.0,0,0,1.1,1,Active,1,Active,1,Active,1,Active,1,0.0,1,,0,50.0,1,1.0,Call,1,1,1,1,1,1,50.0,1.0,1.0,0,0,0.0,Call,1,1.0
