rule_id,complete_count,misclassified_count,ke2_mode,ke3_mode,exclude_conflicts,complete_mode,llna_priority
rule_071,67,30,consensus_negative,or_positive,False,call_based,call > epa
rule_103,67,31,consensus_negative,consensus_negative,False,call_based,call > epa
rule_001,64,27,or_positive,or_positive,False,call_based,call
rule_033,64,30,or_positive,consensus_negative,False,call_based,call
rule_065,64,30,consensus_negative,or_positive,False,call_based,call
rule_097,64,31,consensus_negative,consensus_negative,False,call_based,call
rule_023,50,17,or_positive,or_positive,True,call_based,call > epa
rule_055,50,17,or_positive,consensus_negative,True,call_based,call > epa
rule_087,50,17,consensus_negative,or_positive,True,call_based,call > epa
rule_119,50,17,consensus_negative,consensus_negative,True,call_based,call > epa
rule_017,47,17,or_positive,or_positive,True,call_based,call
rule_049,47,17,or_positive,consensus_negative,True,call_based,call
rule_081,47,17,consensus_negative,or_positive,True,call_based,call
rule_113,47,17,consensus_negative,consensus_negative,True,call_based,call
rule_003,4,0,or_positive,or_positive,False,call_based,epa
rule_019,4,0,or_positive,or_positive,True,call_based,epa
rule_035,4,0,or_positive,consensus_negative,False,call_based,epa
rule_051,4,0,or_positive,consensus_negative,True,call_based,epa
rule_067,4,0,consensus_negative,or_positive,False,call_based,epa
rule_083,4,0,consensus_negative,or_positive,True,call_based,epa
rule_099,4,0,consensus_negative,consensus_negative,False,call_based,epa
rule_115,4,0,consensus_negative,consensus_negative,True,call_based,epa
