Dataset,Chemical,CAS,KE1_call,KE2_call,KE3_call,Pattern,LLNA_call,Misclassified
SkinSensDB,Potassium dichromate,7778-50-9,1,1,1,111,0,1
SkinSensDB,Ylang Ylang,8006-81-3;68606-83-7;83863-30-3,0,1,1,011,1,0
SkinSensDB,Jasmine Absolute (Grandiflorum),8022-96-6;8024-43-9;90045-94-6;84776-64-7,1,1,1,111,1,0
SkinSensDB,2-Hydroxy-ethyl-acrylate,818-61-1,1,1,1,111,1,0
SkinSensDB,"HC VIOLET No,1",82576-75-8,1,1,0,110,1,0
SkinSensDB,"1,5-Dihydroxynaphtalin",83-56-7,0,1,1,011,1,0
SkinSensDB,3-Amino-2-methylamino-6-methoxypyridin x HCl,83732-72-3,1,1,1,111,1,0
SkinSensDB,"1,2-Cyclohexane dicarboxylic anhydride",85-42-7,1,0,0,100,1,1
SkinSensDB,Phthalic anhydride,85-44-9,1,0,0,100,1,1
SkinSensDB,n- heptyl b-d-thioglucopyranoside,85618-20-8,0,0,1,001,1,1
SkinSensDB,Pentachlorophenol,87-86-5,1,0,1,101,1,0
SkinSensDB,"2,4-Dinitrobenzenesulfonic acid",885-62-1,1,1,1,111,1,0
SkinSensDB,DPCP,886-38-4,1,1,1,111,1,0
SkinSensDB,3-Methyl-1-phenylpyrazolone,89-25-8,1,1,1,111,1,0
SkinSensDB,1 -Naphthol,90-15-3,1,1,1,111,1,0
SkinSensDB,Treemoss,90028-67-4,1,1,1,111,1,0
SkinSensDB,Oakmoss,90028-68-5,1,1,1,111,1,0
SkinSensDB,Tween 80,9005-65-6,1,1,1,111,0,1
SkinSensDB,isatin,91-56-5,1,1,1,111,1,0
SkinSensDB,Jasmine Absolute (Sambac),91770-14-8,0,1,1,011,1,0
SkinSensDB,2-Pheny1propiona1dehyde,93-53-8,1,1,1,111,1,0
SkinSensDB,Phenyl benzoate,93-99-2,1,0,1,101,1,0
SkinSensDB,Hydroxyethyl-p-phenylenediamine sulfate,93841-25-9,1,1,1,111,1,0
SkinSensDB,Benzocaine,1994-09-07 00:00:00,0,1,1,011,1,0
SkinSensDB,Propyl 4-hydroxybenzoate,94-13-3,1,1,1,111,1,0
SkinSensDB,Benzoyl peroxide,94-36-0,1,1,1,111,1,0
SkinSensDB,2-Amino-phenol,95-55-6,1,1,1,111,1,0
SkinSensDB,"1-Thioglycerol(3-mercapto-1 ,2-propanediol)",96-27-5,1,0,1,101,1,0
SkinSensDB,Methyl acrylate,96-33-3,1,1,1,111,1,0
SkinSensDB,"1-Chloro-2,4-dinitrobenzene",97-00-7,1,1,1,111,1,0
SkinSensDB,EGDM (Ethyleneglycol dimethacrylate),97-90-5,1,1,1,111,1,0
SkinSensDB,2-Ethylbutyraldehyde,97-96-1,1,1,0,110,1,0
SkinSensDB,OA14,,1,1,1,111,1,0
SkinSensDB,OA16,,1,1,1,111,1,0
SkinSensDB,OA17,,1,1,1,111,1,0
SkinSensDB,OA18,,1,1,1,111,1,0
SkinSensDB,OA19,,1,1,1,111,1,0
SkinSensDB,OA22,,1,1,1,111,1,0
SkinSensDB,OA23,,1,1,1,111,1,0
SkinSensDB,OA24,,0,1,1,011,1,0
SkinSensDB,OA25,,1,1,1,111,1,0
SkinSensDB,OA26,,1,1,1,111,1,0
SkinSensDB,OA27,,1,1,1,111,1,0
SkinSensDB,OA28,,1,1,1,111,1,0
SkinSensDB,OA29,,1,1,1,111,1,0
SkinSensDB,OA3,,1,1,1,111,1,0
SkinSensDB,OA31,,1,1,1,111,1,0
SkinSensDB,OA32,,1,1,1,111,1,0
SkinSensDB,OA33,,0,1,1,011,1,0
SkinSensDB,OA34,,1,1,1,111,1,0
SkinSensDB,OA35,,0,0,0,000,1,1
SkinSensDB,OA39,,1,1,1,111,1,0
SkinSensDB,OA40,,1,1,0,110,1,0
SkinSensDB,OA43,,1,1,1,111,1,0
SkinSensDB,OA44,,1,1,1,111,1,0
SkinSensDB,OA45,,1,1,1,111,1,0
SkinSensDB,OA47,,1,1,1,111,1,0
SkinSensDB,OA48,,1,0,1,101,1,0
SkinSensDB,OA49,,1,1,1,111,1,0
SkinSensDB,OA51,,0,1,1,011,1,0
SkinSensDB,OA53,,1,1,1,111,1,0
SkinSensDB,OA54,,1,0,1,101,1,0
SkinSensDB,OA56,,1,1,1,111,1,0
SkinSensDB,OA57,,1,1,1,111,1,0
SkinSensDB,OA59,,1,1,1,111,1,0
SkinSensDB,OA6,,1,1,1,111,1,0
SkinSensDB,OA60,,1,1,1,111,1,0
SkinSensDB,OA61,,1,1,1,111,1,0
SkinSensDB,OA62,,1,1,1,111,1,0
SkinSensDB,OA63,,1,1,1,111,1,0
SkinSensDB,OA64,,1,1,1,111,1,0
SkinSensDB,OA65,,0,1,1,011,1,0
SkinSensDB,OA66,,0,1,1,011,1,0
SkinSensDB,OA69,,1,1,1,111,1,0
