CAS,Chemical,colleague_KE1_call,colleague_KE2_call,colleague_KE3_call,current_KE1_call,current_KE2_or_call,current_KE3_or_call,current_KE2_consensus_call,current_KE3_consensus_call,KS_call,LuSens_call,hCLAT_call,USENS_call,LLNA_call,LLNA_EC3
63-74-1,Sulfanilamide,0,0,0,0,0,0,0,0,Inactive,Inactive,Inactive,Inactive,0.0,
64-67-5,Ethyl sulfate (Et2SO4),1,1,1,1,1,1,1,1,Active,,Active,,,3.3
6485-40-1,R-(-)-Carvone,1,1,1,1,1,1,1,1,Active,,Active,Active,,12.9
67-63-0,Isopropanol,0,0,0,0,0,0,0,0,Inactive,Inactive,Inactive,Inactive,0.0,
6728-26-3,(2E)-2-Hexenal,1,1,1,1,1,1,1,1,Active,,Active,Active,,5.5
68-12-2,"N,N-Dimethylformamide",0,0,0,0,0,0,0,0,Inactive,,Inactive,,0.0,100.0
71-36-3,1-Butanol,0,0,0,0,0,1,0,0,Inactive,Inactive,Active,Inactive,0.0,20.0
7646-79-9,Cobalt chloride,1,1,1,1,1,1,1,1,Active,Active,Active,,1.0,0.6
78-70-6,Linalool,0,0,1,0,0,1,0,1,Inactive,,Active,Active,1.0,42.5
80-62-6,Methyl methacrylate,1,1,1,1,1,1,1,1,Active,Active,Active,Active,1.0,90.0
818-61-1,2-Hydroxyethyl acrylate,1,1,1,1,1,1,1,1,Active,,Active,Active,,1.4
85-42-7,Hexahydrophthalic anhydride,1,0,1,1,0,1,0,1,Inactive,,,Active,1.0,0.84
87-86-5,Pentachlorophenol,1,0,1,1,0,1,0,1,Inactive,,Active,Active,,20.0
885-62-1,"Benzenesulfonic acid, 2,4-dinitro-, sodium salt",1,1,1,1,1,1,1,1,Active,,,Active,1.0,2.0
90-15-3,1-Naphthol,1,1,1,1,1,1,1,1,Active,,Active,Active,,1.3
91-64-5,Coumarin,0,1,0,0,1,1,1,0,Active,,Inactive,Active,,32.45
93-53-8,Hydratropaldehyde,1,1,1,1,1,1,1,1,Active,Active,Active,Active,,6.3
93-99-2,Phenyl benzoate,1,0,1,1,0,1,0,1,Inactive,Inactive,Active,Active,1.0,15.350000000000001
94-13-3,Propylparaben,0,1,1,0,1,1,1,1,Active,Active,Active,Active,0.0,50.0
95-55-6,2-Aminophenol,1,1,1,1,1,1,1,1,Active,,Active,Active,,0.45
96-33-3,Methyl acrylate,1,1,1,1,1,1,1,1,Active,Active,,Active,1.0,19.8
97-00-7,"1-Chloro-2,4-dinitrobenzene",1,1,1,1,1,1,1,1,Active,Active,Active,Active,1.0,0.058499999999999996
97-90-5,Ethylene glycol dimethacrylate,1,1,1,1,1,1,1,1,Active,Active,Active,Active,1.0,28.0
